분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A 광물산업_3 유리생산,57.38,76.7,86.16,94.52,99.29,100.64,111.64,123.14,89.05,91.46,109.67,121.58,113.6,128.02,131.28,129.47,138.97,136.47,143.62,115.58,223.63,240.88,197.29,211.04,212.71,226.74,254.02,248.76,302.59,272.43,253.47,255.49,260.47,260.71
A 광물산업_4 탄산염의 기타 공정 사용,201.64,189.77,214.96,204.25,241.2,253.08,253.12,243,201.46,372.06,434.49,499.16,508.39,531.81,583.18,611.43,601.18,736.6,742.27,815.71,846.06,899.74,956.16,950.86,984.02,1132.15,1164.78,1212.76,1148.62,1004.33,1034.75,1018.54,971.58,918.75
B 화학산업,7830.91,9711.32,16139.16,17545.68,19102.3,20607.87,22054.96,26075.29,26974.57,30194.55,30139.26,32379.99,34052.13,35506.36,38555.05,38891.84,39472.02,27274.37,26075.5,24762.16,25185,25662.39,27218.07,26490.12,27383.4,27992.54,30509.07,31402.35,31588.18,30892.66,29310.86,33361.49,30996.12,28495.57
B 화학산업_1 암모니아 생산,"NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE","NA, IE"
B 화학산업_2 질산 생산,219.29,270.85,352.77,438.3,493.48,599.99,673.29,777.58,861.48,879.28,1064.25,1021.54,1087.62,1370.72,1411.46,1485.43,1648.19,463.63,168.3,142.53,160.27,187.59,332.51,204.04,242.71,229.55,305.08,301.93,291.52,374.08,276.2,189.7,96.3,100.88
B 화학산업_3 아디브산 생산,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
"B 화학산업_4 카프로락탐, 글리옥살, 글리옥실산 생산","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
B 화학산업_5 카바이드 생산,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
B 화학산업_6 이산화티타늄 생산,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
B 화학산업_7 소다회 생산,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
B 화학산업_8 석유화학제품 및 카본블랙 생산,5314.24,7176.35,10612.25,11863.71,12549.41,13127.34,13968.43,17145.27,18907.67,19537.72,19410.88,24109.41,24985.53,25747.64,26694.47,28372.69,29876.3,25220.76,24637.68,23349.58,23730.87,24897.21,26389.26,25800.89,26688.56,27426.62,29751.67,30908.81,31082.15,30306.08,28838.89,32951.39,30700.8,28268.92
B 화학산업_9 불소화합물 생산,1041.6,846.67,1983.01,2232,2402.62,2765.7,3030.56,3450.18,2059.39,3859.38,3429.84,590.24,2112.96,0.05,0.02,0.06,0.11,0.12,12.04,24.98,29.38,58.07,82.23,91.66,93.14,94.9,92.76,87.82,88.15,80.29,90.9,96.04,94.51,55.04
